base_bid,impressions,cost,clicks,ctr,cpc,CPM
49.1,95580,2781.241,56,0.000585897,49.66501786,29.09856665
49.2,95725,2788.046,56,0.000585009,49.78653571,29.12557848
49.3,95854,2794.969,57,0.000594654,49.03454386,29.1586058
49.4,96031,2805.237,57,0.000593558,49.21468421,29.21178578
49.5,96347,2823.754,57,0.000591612,49.53954386,29.30816735
49.6,96576,2836.553,57,0.000590209,49.76408772,29.37119988
49.7,96768,2846.764,57,0.000589038,49.94322807,29.41844411
49.8,97307,2879.487,58,0.000596052,49.64632759,29.59177654
49.9,97739,2904.305,58,0.000593417,50.07422414,29.71490398
50,97884,2911.571,58,0.000592538,50.1995,29.74511667
50.1,98156,2924.696,58,0.000590896,50.4257931,29.79640572
50.2,98326,2932.823,58,0.000589874,50.56591379,29.82754307
50.3,98428,2937.522,58,0.000589263,50.64693103,29.84437355
50.4,98772,2956.152,58,0.000587211,50.96813793,29.92904872
50.5,98941,2965.278,58,0.000586208,51.12548276,29.97016404
50.6,99180,2977.326,58,0.000584795,51.3332069,30.01941924
50.7,99452,2991.383,59,0.000593251,50.70140678,30.07866106
50.8,99591,2997.77,59,0.000592423,50.80966102,30.10081232
50.9,99813,3011.023,59,0.000591105,51.03428814,30.16664162
51,100002,3021.479,59,0.000589988,51.21150847,30.21418572
51.1,100123,3027.103,59,0.000589275,51.30683051,30.23384237
51.2,100253,3033.028,60,0.000598486,50.55046667,30.25373804
51.3,100418,3041.342,60,0.000597502,50.68903333,30.28682109
51.4,100657,3054.101,60,0.000596084,50.90168333,30.34166526
51.5,100809,3061.471,60,0.000595185,51.02451667,30.36902459
51.6,101161,3083.839,62,0.000612884,49.73933871,30.48446536
51.7,101427,3100.732,63,0.000621136,49.21796825,30.57107082
51.8,101639,3113.483,63,0.000619841,49.42036508,30.63275908
51.9,101818,3121.471,63,0.000618751,49.54715873,30.65735921
52,101972,3129.281,63,0.000617817,49.67112698,30.68764955
52.1,102846,3176.022,64,0.00062229,49.62534375,30.88133714
52.2,103032,3186.659,64,0.000621166,49.79154688,30.92882794
52.3,103262,3197.723,64,0.000619783,49.96442188,30.96708373
52.4,103396,3204.125,64,0.000618979,50.06445313,30.98886804
