base_bid,impressions,cost,clicks,ctr,cpc
44.1,84953,2271.188,46,0.000541475874895531,49.373652173913
44.2,85130,2280.655,46,0.000540350052860331,49.5794565217391
44.3,85385,2292.118,46,0.000538736311998595,49.828652173913
44.4,85613,2301.998,46,0.000537301578031374,50.0434347826087
44.5,86003,2318.454,46,0.000534865062846645,50.4011739130435
44.6,86290,2332.035,46,0.000533086104994785,50.6964130434783
44.7,86468,2340.491,46,0.000531988712587315,50.8802391304348
44.8,86602,2346.862,46,0.000531165561996259,51.0187391304348
44.9,86812,2356.956,47,0.000541399806478367,50.148
45,87072,2368.853,48,0.000551267916207277,49.3511041666667
45.1,87238,2375.844,48,0.000550218941287054,49.49675
45.2,87453,2385.512,48,0.000548866248156152,49.6981666666667
45.3,87753,2401.305,48,0.000546989846500974,50.0271875
45.4,87863,2405.757,48,0.000546305043078429,50.1199375
45.5,88047,2412.945,48,0.000545163378650039,50.2696875
45.6,88259,2421.325,48,0.000543853884589674,50.4442708333333
45.7,88409,2429.048,48,0.000542931149543599,50.6051666666667
45.8,88610,2437.972,48,0.000541699582439905,50.7910833333333
45.9,88844,2450.929,48,0.00054027283778308,51.0610208333333
46,89147,2468.18,48,0.000538436514969657,51.4204166666667
46.1,89356,2476.611,48,0.000537177134159989,51.5960625
46.2,89517,2484.439,48,0.000536210999028118,51.7591458333333
46.3,89694,2492.894,48,0.000535152853033648,51.9352916666667
46.4,89816,2498.287,48,0.000534425937472165,52.0476458333333
46.5,90069,2511.378,49,0.000544027356804228,51.252612244898
46.6,90360,2524.88,49,0.000542275343072156,51.5281632653061
46.7,90570,2533.91,51,0.000563100364359059,49.6845098039216
46.8,90922,2551.373,52,0.00057191878753217,49.0648653846154
46.9,91043,2557.481,52,0.000571158683259559,49.1823269230769
47,91213,2567.673,52,0.000570094175172399,49.3783269230769
47.1,91370,2575.205,52,0.0005691145890336,49.5231730769231
47.2,91623,2587.508,52,0.000567543084160091,49.7597692307692
47.3,91730,2592.98,52,0.000566881063992151,49.865
47.4,91916,2601.991,52,0.00056573393098046,50.0382884615385
47.5,92185,2613.077,52,0.000564083093778814,50.2514807692308
47.6,92409,2623.642,53,0.000573537209579154,49.502679245283
47.7,92614,2634.197,53,0.000572267691709677,49.7018301886792
47.8,92930,2651.877,54,0.00058108253524158,49.1088333333333
47.9,93070,2658.806,54,0.000580208445256259,49.2371481481482
